file_name	url	inference_transcript	audio_duration
STT_AB00636_0229_1658046_to_1667244	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00636_0229_1658046_to_1667244.wav	འཇིག་རྟེན་མི་རྟག་པར་ལུང་བསྟན་དགོས་པ་དང་། མྱ་ངན་ལས་འདས་པའི་འོ་རོལ་ཏུ་ཁྱད་ལྟར་ན་ཕོམ་པོ་རྣམས་མེད་པས་འཇིག་རྟེན་མཐའ་དང་ལྡན་པ་དང་།	9.198
STT_AB00641_0245_1499940_to_1502312	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00641_0245_1499940_to_1502312.wav	དང་པོ་ས་བདུན་པ་ནི།	2.372
STT_AB00596_0130_637209_to_642175	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00596_0130_637209_to_642175.wav	སྒྲ་དངོས་སྨིན་དུ་འཇུག་པ་ལ་སྒྲ་བཤད་པའི་རྒྱུ་མཚན་ཡོད་པས་མ་ཆགས་པ་ནི།	4.966
STT_AB00608_0046_228848_to_232721	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00608_0046_228848_to_232721.wav	སྤྱོད་པ་དེ་དག་ཆོས་ལ་གོམས་པས་དུས་སུ་རང་གི་ངག་ཉིད་འགྱུར།	3.873
STT_AB00621_0072_495520_to_499752	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00621_0072_495520_to_499752.wav	དངོས་པོ་ལདན་པའི་རང་གི་ངོ་བོར་ལྷག་པར་སྒྲོ་འདོགས་པ་རབ་ཏུ་འཇུག་གོ།	4.232
STT_AB00630_0062_328267_to_333455	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00630_0062_328267_to_333455.wav	རེ་འགའ་ཞིག་ཏུ་ཡོད་པར་འགྱུར་ན་ནི། འབྲས་བུ་དེ་དར་གཟོད་འབྱུང་བར་འགྱུར་གྱི།	5.188
STT_AB00630_0092_489616_to_494650	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00630_0092_489616_to_494650.wav	གལ་ཏེ་བསྐྱེད་ནི་འགག་ཞེན་པའི་གནམ་གཤིག་གིས་རང་དང་མཐུན་པའི་འབྲས་བུའི་དོན་དུ།	5.034
STT_AB00641_0275_1678609_to_1684650	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00641_0275_1678609_to_1684650.wav	དབུ་མ་ལ་འཇུག་པའི་རྒྱ་ཆེར་བཤེད་པ་དགོངས་པ་རབ་ཏུ་གསལ་བ་ལས། དོན་དམ་པའི་སེམས་བསྐྱེད་པ་འདུན་པའི་བཤད་པའོ།	6.041
STT_AB00629_0022_109940_to_112039	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00629_0022_109940_to_112039.wav	གང་གི་ཕྱིར་བྱམས་སེམས་འདིས།	2.099
STT_AB00599_0047_258540_to_263762	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00599_0047_258540_to_263762.wav	སྙིང་རྗེ་དང་པོ་ལ་དེ་འདྲ་བའི་ཁྱད་པར་གྱི་ཁྱད་པར་དུ་བྱད་པར་མིན་པ།	5.222
STT_AB00598_0105_580349_to_583626	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00598_0105_580349_to_583626.wav	སྲིད་ཚལ་ནས་རནའ་སམེད་ཀྱི་བར་གྱི་གནས་འདིར།	3.277
STT_AB00639_0229_1411510_to_1413779	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00639_0229_1411510_to_1413779.wav	གཞན་ཡང་རྩ་བ་ལས།	2.269
STT_AB00597_0016_89735_to_96032	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00597_0016_89735_to_96032.wav	སྟོན་པའི་རྟེན་འབྲེལ་གསུངས་པ་ཉན་པ་ཁོ་ན་ལས། དོན་དམ་པ་རྟོགས་པ་ལ་མཁས་པ་བྱུང་ཡང་།	6.297
STT_AB00635_0032_204616_to_209581	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0032_204616_to_209581.wav	དེ་ཕྱི་ནས་སྟེ་རྗེས་སུ་ནི་ཅིའི་ཕྱིར་རང་བཞིན་གྱེས་མ་སྐྱེས་པ་མཚོངས་པ་ལ་	4.965
STT_AB00640_0208_1394718_to_1403506	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00640_0208_1394718_to_1403506.wav	སྟོང་ཉིད་དམ་ཆོས་ཉིད་ལ་དངོས་པོ་སྟེ་བདེན་པར་འཛིན་པའི་བློ་ཅན་གྱི་བདེན་པར་འཛིན་པ་ལྡོག་པར་བྱ་བའི་ཕྱིར་རྒྱལ་བའི་ཡུམ་ལས་གསུངས་པ་ཡིན་ནོ།	8.788
STT_AB00641_0259_1596367_to_1599140	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00641_0259_1596367_to_1599140.wav	ཐབས་མཁས་ཀྱི་ཕར་ཕྱིན་དུ་འཇོག་པའི་ཐབས་ལ་མཁས་པ་ནི།	2.773
STT_AB00611_0042_221032_to_223472	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00611_0042_221032_to_223472.wav	དེ་དག་ལས་གཞན་པའི་བདུད་ཀྱི་	2.44
STT_AB00616_0070_446953_to_450605	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00616_0070_446953_to_450605.wav	དེ་ལྟར་ཐར་བ་ལས་ཐབ་མི་འདད་པར་དམིགས་པ་ཡང་མ་ཡིན་པའི་ཕྱིར།	3.652
STT_AB00601_0086_467602_to_470861	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00601_0086_467602_to_470861.wav	མིག་ཡོངས་སུ་དག་པའི་ཡོན་ཏན་གང་ཡིན་པ་དེ་ནི་	3.259
STT_AB00636_0178_1266732_to_1274513	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00636_0178_1266732_to_1274513.wav	དེ་ཡང་དང་པོ་ནས་གཞན་གྱིས་དེ་ལྟར་ཁས་མ་བླངས་པས་ངོ་བོ་གཅིག་པ་དང་ཐ་དད་ཙམ་ཡིན་པ་བརྫུན་པ་ལ་སྐྱོན་མེད་ཀྱང་།	7.781
STT_AB00618_0036_219650_to_225162	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00618_0036_219650_to_225162.wav	ཆེ་སྒོ་གཞན་ལ་གྲགས་པའི་རང་གི་ངོ་བོ་ཉིད་ཀྱིས་གྲུབ་པའི་གཞན་གྲོ་དྲུག་ལྟར་བརྗོད་ནས་	5.512
STT_AB00608_0111_594872_to_597244	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00608_0111_594872_to_597244.wav	བཟོད་པ་གཞན་ཇི་ལྟར་བསྟན་པའི་ཚུལ།	2.372
STT_AB00643_0159_1162773_to_1165622	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00643_0159_1162773_to_1165622.wav	པེ་འདིའི་སྒོ་ནས་ལྷག་པར་མོས་པར་བྱའོ།	2.849
STT_AB00638_0101_636612_to_640708	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00638_0101_636612_to_640708.wav	ཡན་ལག་འདུས་པ་ཙམ་དང་ཡན་ལག་གི་དབྱིད་མིན་པ་ཇེ་ལྟ་བ་དེ་བཞིན་དུ།	4.096
STT_AB00622_0033_303711_to_307380	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00622_0033_303711_to_307380.wav	སྤྱིར་དེ་ཁོ་ན་ཉིད་མི་ཐོག་པ་མིན་པར་བཞེས་པས་ན།	3.669
STT_AB00635_0072_406749_to_410827	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0072_406749_to_410827.wav	ཆུ་ཡི་འདུ་ཤས་ཅན་གྱིས་ནི། མཐོང་ཡང་སམིག་རྒྱུ་ལག་ཆུ་མེད།	4.078
STT_AB00625_0076_509240_to_513831	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00625_0076_509240_to_513831.wav	བདེན་པ་གཉིས་སུའང་རང་བཞིན་མེད་པའི་ཕྱིར། དེ་དག་རྟག་པ་མ་ཡིན་ཆད་པའང་མིན།	4.591
STT_AB00635_0201_1333199_to_1342909	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0201_1333199_to_1342909.wav	དེ་ཡང་ཇི་ལྟར་བསྲུང་བ་དེ་ལྟར་ཡོད་པའི་ཡུལ་དེ་ནི་འདིར་མཐབ་མིན་ལ། བློ་ཡང་ཚུལ་ཕྱིན་ཡིད་ལ་བྱེད་པ་ཡིན་པས་མཐར་འཛིན་མིན་ནོ།	9.71
STT_AB00622_0086_659274_to_663643	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00622_0086_659274_to_663643.wav	ཇི་ལྟར་སངས་རྒྱས་དེ་དག་གིས་དོན་དམ་ལྡན་པ་གཟིགས་ཤེ་ན།	4.369
STT_AB00634_0006_75264_to_78933	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00634_0006_75264_to_78933.wav	ཞེས་དྲངས་པའི་འོག་ཏུ་དིའི་ཕྱིར་དེ་ལྟར་ན།	3.669
STT_AB00636_0149_1029513_to_1033660	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00636_0149_1029513_to_1033660.wav	གནས་མ་བུའི་སྡེ་པ་ལ་སོགས་པ་འཕགས་པ་མང་པོའ་སྐུལ་བའི་སྡེ་པའིའོ།	4.147
STT_AB00613_0048_293779_to_297875	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00613_0048_293779_to_297875.wav	མཉམ་པ་གཉིད་བཅུཡི་ངོས་འཛིན་ནས་ས་བཅུ་པའི་མདོ་འགྲེལ་དང་།	4.096
STT_AB00643_0295_2122858_to_2125537	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00643_0295_2122858_to_2125537.wav	དྲི་ཕྱིར་བདག་འབྲེས་ཁྱོད་ཡོན་འདི་དག་གཅི།	2.679
STT_AB00640_0082_499513_to_509121	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00640_0082_499513_to_509121.wav	སྔ་མ་དག་གིས་ནས་ངོ་བོ་ཉིད་ཀྱིས་གྲུབ་པའི་ཕྱོགས་སུ་མི་བརྗོད་པ་དང་། ཐ་མལ་ནི་བདག་པའི་དོན་ཀུན་རྫོབ་ཏུ་ཡོད་པར་བརྗོད་པར་བྱ་བའི་དོན་ནོ།	9.608
STT_AB00635_0236_1587107_to_1595639	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0236_1587107_to_1595639.wav	དེའི་ཕྱིར་རང་ཕྱོགས་ལ་འདོད་ཆགས་དང་གཞན་ཕྱོགས་ལ་ཁོང་ཁྲོ་བ་རྣམ་པར་བསལ་ཏེ་རིགས་པས་རྣམ་པ་སྤྱོད་པ་ནི་མྱུར་དུ་གྲོ་བར་འགྱུར་རོ།	8.532
STT_AB00608_0011_54462_to_60179	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00608_0011_54462_to_60179.wav	རྒྱད་བཅུའ་ནི་འདོད་པའི་ལྷ་དང་མིར་སྐྱེ་བ་ནས་སྲིད་རྩེའི་བར་དུ་སྐྱེ་བ་དང་།	5.717
STT_AB00611_0151_853984_to_857192	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00611_0151_853984_to_857192.wav	སྦྱིན་པ་ཡོངས་སུ་གཏོང་བའི་བྱང་ཆུབ་སེམས་དཔར་བལྟ་བར་བྱའོ།	3.208
STT_AB00626_0131_814496_to_818967	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00626_0131_814496_to_818967.wav	སྲིད་རྩས་དང་ཅན་ཡ་མེད་པ་གཉིས་ཀའི་སྲད་བསྡོད་པའི་འགྲོ་བ་ཟྡོག་པར་འགྱུར་ཏེ།	4.471
STT_AB00637_0080_461646_to_466254	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00637_0080_461646_to_466254.wav	མདོ་སྡེ་ཕན་ཚུན་གྱིས་གོང་ལེགས་པར་བསྒྲིགས་ནས་ཕོང་པོ་ལས་ངོ་བོ་ཐ་དད་པ་དང་།	4.608
STT_AB00643_0227_1606032_to_1608114	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00643_0227_1606032_to_1608114.wav	ཁམས་སྣ་ཚོགས་པ་མཁན་པའི་སྟོབས་སུ་འདོད་དོ།	2.082
STT_AB00621_0018_121902_to_126578	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00621_0018_121902_to_126578.wav	བདེན་འཛིན་དེས་བཞག་པ་ནི་རང་གི་ཐ་སྙད་དུཡང་མི་སྲིད་པར་བཞེད་པའི་ཕྱིར་རོ།	4.676
STT_AB00627_0036_278660_to_281902	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00627_0036_278660_to_281902.wav	རྣམ་པར་ཤེས་པ་དང་པོ་ནི། རྣམ་པར་ཤེས་པ་དང་པོས་གཏོང་ངོ་།	3.242
STT_AB00605_0115_674957_to_677329	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00605_0115_674957_to_677329.wav	ལོངས་སྤྱོད་ཀྱང་ནི་སྦྱིན་ལས་འབྱུང་བྱས་ནས།	2.372
STT_AB00641_0254_1568029_to_1570332	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00641_0254_1568029_to_1570332.wav	ཐབས་ཀྱིས་ཕ་རོལ་ཕྱིན་ལས་འབར་བང་ཐོབ།	2.303
STT_AB00620_0049_274462_to_282943	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00620_0049_274462_to_282943.wav	དེ་ལྟ་ན་ཐོག་མ་མེད་པ་ནས་ཞུགས་པས་བདག་ཏུ་འཛིན་པ་གཉིས་ཀྱི་མ་རིག་པ་ལ་སོགས་པའི་སླེབ་པའི་གནོད་པ་ནི་འདིར་གནོད་པའི་རྒྱུར་མི་བཟུང་གི།	8.481
STT_AB00623_0064_413796_to_420145	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00623_0064_413796_to_420145.wav	གང་ཟག་གཞན་ལྟར་བུ་འདི་བསྟན་ནས་འདི་ངའི་སྐྱེད་དོ། ཞེས་སྟོན་པ་མི་འགྱུར་རོ།	6.349
STT_AB00639_0291_1800179_to_1803916	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00639_0291_1800179_to_1803916.wav	སྔོན་རྣམས་མཐའ་དག་དངོས་པོ་མེད་པར་རྟོགས་སུ་ཞུགས་པར་ནི།	3.737
STT_AB00637_0279_1710605_to_1714308	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00637_0279_1710605_to_1714308.wav	ཕོང་པོ་དང་བདག་གཉིས་ལ་དེ་ལྟར་མཐོང་བ་མེད་པས།	3.703
STT_AB00636_0137_974786_to_977738	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00636_0137_974786_to_977738.wav	ཕུང་པོ་བདག་ཏུ་གསུངས་པ་སོགས་ཀྱི་དགོངས་པ་བཤད་པ།	2.952
STT_AB00623_0111_730059_to_738216	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00623_0111_730059_to_738216.wav	དེ་འབྱུང་བ་ན་ས་བོན་ལས་གཞན་ཉིད་དུ་སྟེས་ནས་འབྱུང་བ་མི་རུང་བས། ས་སྙོམས་གཉིས་ངོ་བོ་གཅིག་གོ་སྙམ་ན།	8.157
STT_AB00636_0142_994650_to_997107	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00636_0142_994650_to_997107.wav	དང་པོ་ཕྱོགས་སྔ་མ་བརྗོད་པ་ནི།	2.457
STT_AB00623_0075_488063_to_491561	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00623_0075_488063_to_491561.wav	གཞན་ལས་སྐྱེ་བ་འཇིག་རྟེན་ལས་ཀྱང་མེད། ཅེས་པའི་དོན་ནས།	3.498
STT_AB00596_0025_101902_to_104052	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00596_0025_101902_to_104052.wav	ཀླུ་ཕྲུབ་ལུགས་ཀྱི་ཐུན་མོང་མིན་པའི་གནས།	2.15
STT_AB00639_0039_235435_to_238950	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00639_0039_235435_to_238950.wav	ང་བྱེ་བར་འཛིན་པའི་བློ་འབྱུང་བའི་བདག་དེ་ནི་	3.515
STT_AB00617_0136_768336_to_770930	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00617_0136_768336_to_770930.wav	སླར་ཡང་སྐྱེ་བ་དོན་མེད་དང་ཐུག་མེད་ཡིན་ལ།	2.594
STT_AB00611_0049_275708_to_281885	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00611_0049_275708_to_281885.wav	སྦྱིན་པ་ནས་བརྩོན་འགྲུས་ཀྱི་ཕར་ཕྱིན་བཞི་ལྷག་པར་གྱུར་པ། སྔོན་ཉིད་ནས་ཐོབ་ཟིན་པར་བཤད་པས།	6.177
STT_AB00623_0032_174121_to_179837	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00623_0032_174121_to_179837.wav	རྣམ་རཀོལ་འཇིག་རྟེན་ཚད་མིན་ཞེས་པའི་ལུགས་འདི་མཚན་མ་བརྟན་མི་འདོད་པར་སྟོན་པས།	5.716
STT_AB00598_0086_464752_to_468489	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00598_0086_464752_to_468489.wav	འདི་ནི་ཞེས་པ་ནི་སྔ་མ་ལྔ་ལཡང་སྦྱར་རོ།	3.737
STT_AB00630_0069_363865_to_370332	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00630_0069_363865_to_370332.wav	རང་བཞིན་གྱིས་གྲུབ་པའི་རྣམ་ཤེས་སྐྱེ་བའི་ནུས་པ་མེད་པར་རང་བཞིན་གྱིས་གྲུབ་པའི་རྣམ་ཤིག་འདིས་འབྱུང་བར་འགྱུར་བ་མེད་དོ།	6.467
STT_AB00619_0158_890247_to_893984	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00619_0158_890247_to_893984.wav	ཅིག་ཞོས་དགག་པ་གཞན་བསྒྲུབ་པ་མེད་ན་མེད་པ་ཡིན་པའི་ཕྱིར།	3.737
STT_AB00610_0136_730930_to_735213	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00610_0136_730930_to_735213.wav	ས་འོད་བྱེད་པ་ཞེས་བྱ་བ་རྒྱལ་བའི་སལ་པོ།ཉི་མ་ལ་གནས་པ་འདི་ནི།	4.283
STT_AB00636_0016_104462_to_108728	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00636_0016_104462_to_108728.wav	གཉིས་པ། བདག་དང་བདག་གྱི་བ་གཉིས་རང་བཞིན་གྱིས་སྒྲུབ་པ་འགོག་པའི་ཚུལ་ལ་གཉིས།	4.266
STT_AB00615_0114_677568_to_680998	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00615_0114_677568_to_680998.wav	རང་བཞིན་གྱིས་ཡོད་པ་བརཏགས་པ་དང་མེད་པར་བརྟགས་པ་འགོག་སྟེ།	3.43
STT_AB00629_0263_1622226_to_1626834	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00629_0263_1622226_to_1626834.wav	དེ་ཡང་ཇི་ལྟ་བ་གཟིགས་པའི་ངོར་ནི་གསུམ་པོ་མི་སྣང་ལ།	4.608
STT_AB00596_0027_108046_to_110571	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00596_0027_108046_to_110571.wav	ཞི་བ་ལྷ་དང་བཅས་པའི་ཞབས་ལ་འདུས།	2.525
STT_AB00626_0132_819598_to_823063	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00626_0132_819598_to_823063.wav	ཟག་མེད་ཀྱི་སེམས་དེའི་གནས་ནི་འགྲོ་བ་དེ་གཉིས་དང་།	3.465
STT_AB00623_0115_748540_to_752261	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00623_0115_748540_to_752261.wav	མྱུ་གུ་དེ་ས་བོན་ལས་རང་བཞིན་གྱིས་གྲུབ་པའི་གཞན་དང་།	3.721
STT_AB00614_0002_7278_to_13779	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00614_0002_7278_to_13779.wav	ཕྱི་རོ་ཁས་ལེན་པའི་རང་རྒྱུད་པ་ལྟར་ན། ས་ཕྱོགས་སམ་བར་སྣང་ལྟ་བུའི་གཞི་འཛིན་པའི་དབང་པོའི་མངོན་སུམ་གྱིས་གྲུབ་ལ།	6.501
STT_AB00635_0178_1182052_to_1185423	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0178_1182052_to_1185423.wav	རྟོག་པ་ཐོག་མ་མེད་པ་ནས་གོམས་པ་རྣམས་ལྡོག་པར་འགྱུར་ཏེ།	3.371
STT_AB00635_0269_1830110_to_1832994	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0269_1830110_to_1832994.wav	འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་གསང་བའི་མདོ་ལས་ཇི་སྐད་འདུག	2.884
STT_AB00618_0037_227551_to_231612	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00618_0037_227551_to_231612.wav	ད་ནི་རྒྱུ་འབྲས་གཉིས་ལ་ངོ་བོས་གྲུབ་པའི་གཞན་མི་སྲིད་པར་བཤད་པ།	4.061
STT_AB00629_0119_713899_to_716936	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00629_0119_713899_to_716936.wav	དགའ་པར་བརྗེད་པར་བརྗོད་པ་དང་། དེ་དཀག་པོས་མཆུག་བསྡུལ་བའོ།	3.037
STT_AB00621_0103_692090_to_698831	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00621_0103_692090_to_698831.wav	དངོས་པོར་དམིགས་པ་ཡིན་ན་ནི། འདོད་ཆགས་ལ་སོགས་པའི་ཉོན་མོངས་པ་རབ་འབྱམ་ངེས་པར་ལློག་ཏུ་མེད་པ་རྣམས་འབྱུང་ངོ་།	6.741
